-12172,-6676,-8204,-1014,-491,-153
-12180,-6700,-8156,-1018,-520,-151
-12384,-6796,-8056,-1079,-515,-43
-12348,-6744,-8016,-1074,-508,-78
-12168,-6652,-8236,-1050,-485,-77
-12300,-6764,-8212,-1042,-529,-111
-12324,-6672,-8108,-1101,-551,-92
-12008,-6700,-8236,-1093,-532,4
-12160,-6688,-8196,-1133,-511,13
-12220,-6680,-8140,-1155,-489,19
-12288,-6616,-8316,-1113,-522,-3
-12392,-6612,-8120,-1050,-516,-108
-12284,-6700,-8068,-942,-477,-273
-12312,-6812,-8224,-944,-513,-283
-12248,-6796,-8112,-985,-536,-208
-12156,-6740,-8092,-1043,-507,-129
-12132,-6788,-8116,-1068,-473,-72
-12204,-6644,-8224,-1078,-526,-47
-12168,-6572,-8144,-1106,-566,-38
-12220,-6624,-8120,-1124,-518,-2
-12188,-6624,-8244,-1129,-473,-28
-12200,-6660,-8088,-1026,-473,-106
-12272,-6660,-8220,-1044,-469,-132
-12128,-6748,-8180,-1018,-484,-136
-12100,-6764,-8076,-1108,-572,-31
-12296,-6708,-8100,-1128,-529,-35
-12272,-6624,-8084,-1114,-483,-8
-12236,-6684,-8212,-1153,-475,80
-12236,-6604,-8252,-1226,-480,120
-12140,-6836,-8180,-1319,-466,357
-12100,-6852,-8008,-1656,-425,872
-12168,-6592,-8132,-1961,-395,1366
-12224,-6564,-8128,-2261,-343,1851
-12184,-6624,-8112,-2607,-318,2429
-12312,-6120,-8288,-3187,-318,3201
-12648,-5436,-8492,-3454,-224,3362
-12912,-4780,-8508,-3209,-429,2478
-12572,-5804,-7984,-3658,-280,2988
-12508,-6980,-8176,-5950,-920,2078
-13248,-7332,-6200,-10732,-2493,-185
-14040,-6668,-5104,-16883,-2415,536
-13076,-2216,-5064,-20307,-1545,4441
-13636,3492,-8748,-17865,-3773,4846
-16944,7004,-11096,-8625,-2682,1844
-13720,3176,-7696,-710,-1331,4346
-14612,1716,-10072,5,-1020,4866
-13536,-136,-9272,-880,-1282,3278
-12572,888,-10972,-1219,-1216,2020
-11928,784,-12148,1084,-349,1483
-12660,676,-11600,738,-360,1393
-11912,400,-12156,-908,-663,208
-13720,768,-8812,-997,-372,-375
-13768,1016,-9264,-997,-581,-310
-13868,824,-9084,-959,-603,-342
-13800,1084,-9080,-923,-607,-265
-13764,1120,-9116,-844,-592,-353
-13784,840,-9020,-740,-484,-477
-13660,896,-9088,-594,-386,-741
-13772,872,-8968,-411,-333,-1001
-13644,716,-9120,-356,-352,-1038
-13880,792,-9200,-84,-284,-1361
-13456,64,-8892,-278,-348,-1044
-13568,252,-9108,-746,-441,-534
-13600,384,-9104,-710,-476,-490
-13600,372,-9160,-580,-450,-606
-13644,144,-9136,-639,-453,-495
-13584,328,-9236,-716,-486,-341
-13692,440,-9056,-499,-451,-379
-13684,664,-9204,81,-418,-263
-13520,384,-9336,722,-378,48
-13588,-36,-9368,1324,-337,506
-13488,12,-9192,1428,-323,835
-13776,-360,-8860,1118,-377,721
-13612,-544,-9000,361,-410,439
-13692,-488,-8812,-477,-464,194
-13784,-324,-8920,-1129,-505,148
-13560,-68,-9144,-1190,-544,104
-13712,-12,-9208,-1178,-512,132
-13748,84,-9096,-1146,-491,40
-13636,-12,-9288,-1102,-498,-3
-13632,48,-9216,-1112,-514,22
-13604,24,-9140,-1091,-511,-16
-13664,76,-9156,-1119,-532,-42
-13732,84,-9200,-1100,-512,-58
-13624,-56,-9144,-1063,-522,-62
-13612,-104,-9192,-1101,-511,-49
-13540,-20,-9084,-1097,-487,-23
-13624,96,-9048,-1074,-528,-21
-13724,48,-9140,-1073,-513,-54
-13692,100,-9408,-1060,-523,-99
-13596,56,-9128,-1029,-493,-147
-13608,8,-9124,-1047,-492,-127
-13764,20,-9080,-1054,-479,-130
-13552,-52,-9156,-1093,-510,-53
-13748,-72,-9128,-1131,-506,-18
-13716,28,-9308,-1099,-508,-44
-13584,124,-8932,-1066,-513,-79
-13740,96,-8972,-1082,-494,-99
-13692,144,-9268,-1021,-503,-145
-13652,44,-9112,-1059,-535,-109
-13704,104,-9064,-1072,-551,-81
-13608,56,-9116,-1073,-490,-118
-13588,20,-9084,-1107,-483,-59
